Date,portfolio_value,oex
2020-07-15,9771.967156779225,9862.552149409954
2020-07-16,9847.89166459165,9822.846500491352
2020-07-17,9917.658678547363,9825.22874248885
2020-07-20,9897.700267003578,9953.610502221689
2020-07-21,9941.193103219875,9946.000091282925
2020-07-22,10007.33222055669,9988.81662997174
2020-07-23,9944.171191442154,9818.478652922528
2020-07-24,9895.687644252284,9755.148498335298
2020-07-27,9900.04846777207,9834.427314759278
2020-07-28,9976.003774452303,9774.868841381378
2020-07-29,9938.335315847988,9870.956641014549
2020-07-30,9839.653919755183,9846.140610440425
2020-07-31,9779.221352788729,9959.03739328279
2020-08-03,9791.52690874623,10055.058144395854
2020-08-04,9963.3044800859,10087.617067321966
2020-08-05,9905.951938017186,10160.808201245729
2020-08-06,9906.766333621188,10265.299684670003
2020-08-07,9966.346050924423,10243.395821746259
2020-08-10,9987.966486227795,10261.858399180232
2020-08-11,9851.534682257243,10164.64612316167
2020-08-12,9983.377751963195,10327.372881458621
2020-08-13,9974.36845483205,10309.108218330985
2020-08-14,9940.438824348665,10305.535259241487
2020-08-17,10046.64866611908,10331.939451147278
2020-08-18,10043.41194266103,10386.004792757469
2020-08-19,10000.672613281216,10343.520265415202
2020-08-20,9937.386830833973,10414.328349527976
2020-08-21,9956.170709417129,10470.115141696546
2020-08-24,9984.761106635984,10574.20998869465
2020-08-25,9953.139537175026,10620.46700505974
2020-08-26,9913.270619019739,10781.93680555808
2020-08-27,10038.379331039392,10789.745130803181
2020-08-28,10115.476675557795,10858.03929931873
2020-08-31,10083.456206892406,10845.86231869131
2020-09-01,10177.83978331332,10943.34036534981
2020-09-02,10393.57981980548,11088.92774471801
2020-09-03,10199.533755269791,10663.680180174722
2020-09-04,10162.882810860723,10562.364211600283
2020-09-08,10028.074382691993,10236.77821359316
2020-09-09,10167.505503313725,10461.578168678729
2020-09-10,9948.121274887935,10264.108967578002
2020-09-11,9996.229298960676,10256.76351946568
2020-09-14,10091.698938470952,10370.189420147435
2020-09-15,10196.981900554867,10435.37269889277
2020-09-16,10092.03744814869,10349.145070782639
2020-09-17,10071.358348519665,10247.564947195251
2020-09-18,10002.120699921004,10128.778396159008
2020-09-21,9970.56860837994,10054.793989382908
2020-09-22,10016.556527767754,10181.057662131198
2020-09-23,9911.7334548799,9924.36038337213
2020-09-24,9979.506374719778,9956.191466339018
2020-09-25,10021.101597728953,10118.32286608997
2020-09-28,10065.132055121074,10277.21170247098
2020-09-29,10034.031033817895,10228.969080534564
